family,subject,attempt,step,dataset,domain,score,recomputed_score,truncation_rate,response_length,completed_at_utc,verified,checks,metric,source,reward_evidence,prompts,samples_per_prompt,selected,training_phase,domain_training_prompts,generated_tokens
m-pg-s42,m-pg-s42-step100-code_science,pg100_capability_20260907_cuda4__m-pg-s42-step100-code_science__capability_eval__step_100,100,livecodebench_postcutoff_pass1,code,0.09375,0.09375,0.296875,9930.4453125,2026-09-07T05:23:42.528195+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/pg100_capability_20260907_cuda4__m-pg-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_capability_20260907_cuda4__m-pg-s42-step100-code_science__capability_eval__step_100/livecodebench_postcutoff_pass1_rewards.json,128,1,True,sampled_reverse_kl,1600,6146000
m-pg-s42,m-pg-s42-step100-if,pg100_math_if_20260907_cuda1_3__m-pg-s42-step100-if__capability_eval__step_100,100,ifbench_strict,if,0.13666666666666666,0.13666666666666666,0.6266666666666667,20600.416666666668,2026-09-08T04:51:00.737998+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/pg100_math_if_20260907_cuda1_3__m-pg-s42-step100-if__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_math_if_20260907_cuda1_3__m-pg-s42-step100-if__capability_eval__step_100/ifbench_strict_rewards.json,300,1,True,sampled_reverse_kl,1600,6146000
m-pg-s42,m-pg-s42-step100-math,pg100_math_if_20260907_cuda1_3__m-pg-s42-step100-math__capability_eval__step_100,100,math500_pass1,math,0.554,0.554,0.064,2554.46,2026-09-07T23:25:59.001929+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/pg100_math_if_20260907_cuda1_3__m-pg-s42-step100-math__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_math_if_20260907_cuda1_3__m-pg-s42-step100-math__capability_eval__step_100/math500_pass1_rewards.json,500,1,True,sampled_reverse_kl,1600,6146000
m-pg-s42,m-pg-s42-step100-math_if-retry-20260908,pg100_math_if_retry_20260908__m-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100,100,ifbench_strict,if,0.14,0.14,0.6233333333333333,20493.253333333334,2026-09-08T08:56:20.424642+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/pg100_math_if_retry_20260908__m-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_math_if_retry_20260908__m-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/ifbench_strict_rewards.json,300,1,False,sampled_reverse_kl,1600,6146000
m-pg-s42,m-pg-s42-step100-math_if-retry-20260908,pg100_math_if_retry_20260908__m-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100,100,math500_pass1,math,0.564,0.564,0.074,2940.32,2026-09-08T08:56:20.424642+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/pg100_math_if_retry_20260908__m-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_math_if_retry_20260908__m-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/math500_pass1_rewards.json,500,1,False,sampled_reverse_kl,1600,6146000
s-pg-s42,s-pg-s42-step100-math_if-retry-20260908,pg100_math_if_retry_20260908__s-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100,100,ifbench_strict,if,0.13333333333333333,0.13333333333333333,0.5266666666666666,17464.97,2026-09-08T07:37:59.492973+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/pg100_math_if_retry_20260908__s-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_math_if_retry_20260908__s-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/ifbench_strict_rewards.json,300,1,True,sampled_reverse_kl,0,6326163
s-pg-s42,s-pg-s42-step100-math_if-retry-20260908,pg100_math_if_retry_20260908__s-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100,100,math500_pass1,math,0.588,0.588,0.056,2415.716,2026-09-08T07:37:59.492973+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/pg100_math_if_retry_20260908__s-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg100_math_if_retry_20260908__s-pg-s42-step100-math_if-retry-20260908__capability_eval__step_100/math500_pass1_rewards.json,500,1,True,sampled_reverse_kl,6400,6326163
m-pg-s42,m-pg-s42-step250-code_science,pg250_capability_20260907__m-pg-s42-step250-code_science__capability_eval__step_250,250,gpqa_diamond_avg4,science,0.2474747474747475,0.2474747474747475,0.003787878787878788,1396.2575757575758,2026-09-07T02:53:27.596071+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-code_science__capability_eval__step_250/gpqa_diamond_avg4_rewards.json,198,4,True,sampled_reverse_kl,4000,17550764
m-pg-s42,m-pg-s42-step250-code_science,pg250_capability_20260907__m-pg-s42-step250-code_science__capability_eval__step_250,250,livecodebench_postcutoff_pass1,code,0.1875,0.1875,0.0625,2397.7109375,2026-09-07T02:53:27.596071+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-code_science__capability_eval__step_250/livecodebench_postcutoff_pass1_rewards.json,128,1,True,sampled_reverse_kl,4000,17550764
m-pg-s42,m-pg-s42-step250-math_if,pg250_capability_20260907__m-pg-s42-step250-math_if__capability_eval__step_250,250,ifbench_strict,if,0.11666666666666667,0.11666666666666667,0.29333333333333333,9984.713333333333,2026-09-07T06:14:09.193312+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-math_if__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-math_if__capability_eval__step_250/ifbench_strict_rewards.json,300,1,True,sampled_reverse_kl,4000,17550764
m-pg-s42,m-pg-s42-step250-math_if,pg250_capability_20260907__m-pg-s42-step250-math_if__capability_eval__step_250,250,math500_pass1,math,0.662,0.662,0.07,2892.48,2026-09-07T06:14:09.193312+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-math_if__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__m-pg-s42-step250-math_if__capability_eval__step_250/math500_pass1_rewards.json,500,1,True,sampled_reverse_kl,4000,17550764
s-pg-s42,s-pg-s42-step250-code_science,pg250_capability_20260907__s-pg-s42-step250-code_science__capability_eval__step_250,250,gpqa_diamond_avg4,science,0.2058080808080808,0.2058080808080808,0.005050505050505051,3163.145202020202,2026-09-07T04:05:29.169721+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-code_science__capability_eval__step_250/gpqa_diamond_avg4_rewards.json,198,4,True,sampled_reverse_kl,0,25698575
s-pg-s42,s-pg-s42-step250-code_science,pg250_capability_20260907__s-pg-s42-step250-code_science__capability_eval__step_250,250,livecodebench_postcutoff_pass1,code,0.2109375,0.2109375,0.0859375,3066.640625,2026-09-07T04:05:29.169721+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-code_science__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-code_science__capability_eval__step_250/livecodebench_postcutoff_pass1_rewards.json,128,1,True,sampled_reverse_kl,0,25698575
s-pg-s42,s-pg-s42-step250-math_if,pg250_capability_20260907__s-pg-s42-step250-math_if__capability_eval__step_250,250,ifbench_strict,if,0.12333333333333334,0.12333333333333334,0.26666666666666666,9132.6,2026-09-07T07:26:08.492344+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-math_if__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-math_if__capability_eval__step_250/ifbench_strict_rewards.json,300,1,True,sampled_reverse_kl,0,25698575
s-pg-s42,s-pg-s42-step250-math_if,pg250_capability_20260907__s-pg-s42-step250-math_if__capability_eval__step_250,250,math500_pass1,math,0.662,0.662,0.154,5690.322,2026-09-07T07:26:08.492344+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-math_if__capability_eval__step_250/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/pg250_capability_20260907__s-pg-s42-step250-math_if__capability_eval__step_250/math500_pass1_rewards.json,500,1,True,sampled_reverse_kl,16000,25698575
s-pg-s42,s-pg-s42-step100-code_science,spg100_capability_20260907_sn4622122392__s-pg-s42-step100-code_science__capability_eval__step_100,100,gpqa_diamond_avg4,science,0.24242424242424243,0.24242424242424243,0.0,671.4520202020202,2026-09-08T00:25:50.059262+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/spg100_capability_20260907_sn4622122392__s-pg-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/spg100_capability_20260907_sn4622122392__s-pg-s42-step100-code_science__capability_eval__step_100/gpqa_diamond_avg4_rewards.json,198,4,True,sampled_reverse_kl,0,6326163
s-pg-s42,s-pg-s42-step100-code_science,spg100_capability_20260907_sn4622122392__s-pg-s42-step100-code_science__capability_eval__step_100,100,livecodebench_postcutoff_pass1,code,0.1171875,0.1171875,0.1875,6355.328125,2026-09-08T00:25:50.059262+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/spg100_capability_20260907_sn4622122392__s-pg-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/spg100_capability_20260907_sn4622122392__s-pg-s42-step100-code_science__capability_eval__step_100/livecodebench_postcutoff_pass1_rewards.json,128,1,True,sampled_reverse_kl,0,6326163
